,anio,municipio_nombre,municipio_id,sexo,intervalo_peso,nacidos_cantidad,centroide_lat,centroide_lon
58,2014,Bahía Blanca,06056,Masculino,1000-1499,20,-38.5808546732895,-62.1656895327094
59,2014,Bahía Blanca,06056,Masculino,1500-1999,42,-38.5808546732895,-62.1656895327094
60,2014,Bahía Blanca,06056,Masculino,2000-2499,118,-38.5808546732895,-62.1656895327094
61,2014,Bahía Blanca,06056,Masculino,2500-2999,374,-38.5808546732895,-62.1656895327094
62,2014,Bahía Blanca,06056,Masculino,3000-3499,1007,-38.5808546732895,-62.1656895327094
63,2014,Bahía Blanca,06056,Masculino,3500 y más,1012,-38.5808546732895,-62.1656895327094
64,2014,Bahía Blanca,06056,Masculino,500-999,11,-38.5808546732895,-62.1656895327094
65,2014,Bahía Blanca,06056,Masculino,Ignorado,11,-38.5808546732895,-62.1656895327094
66,2014,Bahía Blanca,06056,Masculino,Menor a 500,2,-38.5808546732895,-62.1656895327094
67,2014,Balcarce,06063,Masculino,1000-1499,1,-37.7142728192546,-58.2720776956148
68,2014,Balcarce,06063,Masculino,1500-1999,2,-37.7142728192546,-58.2720776956148
69,2014,Balcarce,06063,Masculino,2000-2499,8,-37.7142728192546,-58.2720776956148
70,2014,Balcarce,06063,Masculino,2500-2999,51,-37.7142728192546,-58.2720776956148
71,2014,Balcarce,06063,Masculino,3000-3499,170,-37.7142728192546,-58.2720776956148
72,2014,Balcarce,06063,Masculino,3500 y más,137,-37.7142728192546,-58.2720776956148
73,2014,Balcarce,06063,Masculino,500-999,2,-37.7142728192546,-58.2720776956148
74,2014,Balcarce,06063,Masculino,Ignorado,2,-37.7142728192546,-58.2720776956148
75,2014,Baradero,06070,Masculino,1000-1499,3,-33.9321914567436,-59.4929504876902
76,2014,Baradero,06070,Masculino,1500-1999,2,-33.9321914567436,-59.4929504876902
77,2014,Baradero,06070,Masculino,2000-2499,16,-33.9321914567436,-59.4929504876902
78,2014,Baradero,06070,Masculino,2500-2999,40,-33.9321914567436,-59.4929504876902
79,2014,Baradero,06070,Masculino,3000-3499,118,-33.9321914567436,-59.4929504876902
80,2014,Baradero,06070,Masculino,3500 y más,85,-33.9321914567436,-59.4929504876902
81,2014,Baradero,06070,Masculino,Ignorado,3,-33.9321914567436,-59.4929504876902
82,2014,Benito Juárez,06084,Masculino,1500-1999,1,-37.585278315595,-59.8883008698795
83,2014,Benito Juárez,06084,Masculino,2000-2499,7,-37.585278315595,-59.8883008698795
84,2014,Benito Juárez,06084,Masculino,2500-2999,28,-37.585278315595,-59.8883008698795
85,2014,Benito Juárez,06084,Masculino,3000-3499,48,-37.585278315595,-59.8883008698795
86,2014,Benito Juárez,06084,Masculino,3500 y más,73,-37.585278315595,-59.8883008698795
87,2014,Benito Juárez,06084,Masculino,Ignorado,1,-37.585278315595,-59.8883008698795
88,2014,Berazategui,06091,Masculino,1000-1499,19,-34.8179736855799,-58.1552626919147
89,2014,Berazategui,06091,Masculino,1500-1999,48,-34.8179736855799,-58.1552626919147
90,2014,Berazategui,06091,Masculino,2000-2499,131,-34.8179736855799,-58.1552626919147
91,2014,Berazategui,06091,Masculino,2500-2999,549,-34.8179736855799,-58.1552626919147
92,2014,Berazategui,06091,Masculino,3000-3499,1358,-34.8179736855799,-58.1552626919147
93,2014,Berazategui,06091,Masculino,3500 y más,1109,-34.8179736855799,-58.1552626919147
94,2014,Berazategui,06091,Masculino,500-999,11,-34.8179736855799,-58.1552626919147
95,2014,Berazategui,06091,Masculino,Ignorado,44,-34.8179736855799,-58.1552626919147
96,2014,Berazategui,06091,Masculino,Menor a 500,1,-34.8179736855799,-58.1552626919147
97,2014,Berisso,06098,Masculino,1000-1499,7,-34.9094634802474,-57.8283887071809
98,2014,Berisso,06098,Masculino,1500-1999,18,-34.9094634802474,-57.8283887071809
99,2014,Berisso,06098,Masculino,2000-2499,45,-34.9094634802474,-57.8283887071809
100,2014,Berisso,06098,Masculino,2500-2999,137,-34.9094634802474,-57.8283887071809
101,2014,Berisso,06098,Masculino,3000-3499,365,-34.9094634802474,-57.8283887071809
102,2014,Berisso,06098,Masculino,3500 y más,258,-34.9094634802474,-57.8283887071809
103,2014,Berisso,06098,Masculino,500-999,1,-34.9094634802474,-57.8283887071809
104,2014,Berisso,06098,Masculino,Ignorado,46,-34.9094634802474,-57.8283887071809
105,2014,Bolívar,06105,Masculino,1000-1499,2,-36.2982217499893,-61.1496836148108
106,2014,Bolívar,06105,Masculino,1500-1999,1,-36.2982217499893,-61.1496836148108
107,2014,Bolívar,06105,Masculino,2000-2499,10,-36.2982217499893,-61.1496836148108
108,2014,Bolívar,06105,Masculino,2500-2999,34,-36.2982217499893,-61.1496836148108
109,2014,Bolívar,06105,Masculino,3000-3499,130,-36.2982217499893,-61.1496836148108
110,2014,Bolívar,06105,Masculino,3500 y más,106,-36.2982217499893,-61.1496836148108
111,2014,Bolívar,06105,Masculino,500-999,1,-36.2982217499893,-61.1496836148108
112,2014,Bolívar,06105,Masculino,Ignorado,2,-36.2982217499893,-61.1496836148108
113,2014,Bragado,06112,Masculino,1000-1499,2,-35.0610928531071,-60.6042295511118
114,2014,Bragado,06112,Masculino,1500-1999,4,-35.0610928531071,-60.6042295511118
115,2014,Bragado,06112,Masculino,2000-2499,18,-35.0610928531071,-60.6042295511118
116,2014,Bragado,06112,Masculino,2500-2999,42,-35.0610928531071,-60.6042295511118
117,2014,Bragado,06112,Masculino,3000-3499,127,-35.0610928531071,-60.6042295511118
118,2014,Bragado,06112,Masculino,3500 y más,120,-35.0610928531071,-60.6042295511118
